Unnamed: 0,number of trials,number of parameters,type of function,accuracy [calc. max/ actual max],time per trial [s],type_of_opt
150,17,2,power,0.934428944,0.124473249,L-BFGS-B
151,8,2,power,0.259179134,0.095369637,L-BFGS-B
152,17,2,power,0.515360438,0.127328354,L-BFGS-B
153,18,2,power,1.038669683,0.987625268,L-BFGS-B
154,16,2,power,0.953045375,0.151607931,L-BFGS-B
155,10,2,power,0.292835315,0.121308899,L-BFGS-B
156,9,2,power,0.417944734,0.084497134,L-BFGS-B
157,13,2,power,1.023139938,0.066894073,L-BFGS-B
158,10,2,power,0.869681487,0.201502633,L-BFGS-B
159,8,2,power,0.228237092,0.065855116,L-BFGS-B
160,10,2,power,0.74058179,0.076683092,L-BFGS-B
161,7,2,power,0.526257495,0.064175027,L-BFGS-B
162,6,2,power,0.309747367,0.150004705,L-BFGS-B
163,14,2,power,0.910489753,0.146064997,L-BFGS-B
164,12,2,power,0.429976279,0.13128984,L-BFGS-B
165,8,2,power,0.505573104,0.165994495,L-BFGS-B
166,10,2,power,0.140686328,0.098220706,L-BFGS-B
167,10,2,power,0.468065581,0.078299499,L-BFGS-B
168,15,2,power,0.78923928,0.142235994,L-BFGS-B
169,12,2,power,0.456489436,0.137054165,L-BFGS-B
170,12,2,power,0.515091391,0.100560427,L-BFGS-B
171,8,2,power,1.025626918,0.163334966,L-BFGS-B
172,12,2,power,0.790972652,0.092152655,L-BFGS-B
173,17,2,power,1.038284841,1.019626758,L-BFGS-B
174,10,2,power,0.801837768,0.176170897,L-BFGS-B
175,18,2,power,0.737825182,0.126877613,L-BFGS-B
176,13,2,power,0.727148837,0.147848019,L-BFGS-B
177,16,2,power,0.783574335,0.121697873,L-BFGS-B
178,18,2,power,0.91785944,0.144437671,L-BFGS-B
179,12,2,power,1.038370279,0.4028699,L-BFGS-B
180,14,2,power,0.896012341,0.095194067,L-BFGS-B
181,9,2,power,0.507673829,0.17795878,L-BFGS-B
182,14,2,power,0.870579063,0.133961848,L-BFGS-B
183,6,2,power,1.025741529,0.154456973,L-BFGS-B
184,13,2,power,1.022347899,0.160551236,L-BFGS-B
185,7,2,power,0.739335122,0.097477879,L-BFGS-B
186,5,2,Trig,0.818692347,0.021965647,CMA-ES
187,5,2,Trig,0.286064046,0.022603321,CMA-ES
188,20,2,Trig,0.637339597,0.017482293,CMA-ES
189,15,2,Trig,0.346998363,0.016770204,CMA-ES
190,17,2,Trig,0.493192113,0.014632001,CMA-ES
191,8,2,Trig,0.416813814,0.021753997,CMA-ES
192,8,2,Trig,0.600509629,0.012751251,CMA-ES
